Institution,Control,State,Plan,Notes,Resources
University System of Georgia — Georgia State University, Public, GA, Planning for in-person, , 
University System of Georgia — Gordon State College, Public, GA, Planning for in-person, , 
University System of Georgia — Kennesaw State University, Public, GA, Planning for in-person, , 
University System of Georgia — Middle Georgia State University, Public, GA, Planning for in-person, , 
University System of Georgia — Savannah State University, Public, GA, Planning for in-person, , 
University System of Georgia — South Georgia State College, Public, GA, Planning for in-person, , 
University System of Georgia — University of Georgia, Public, GA, Planning for in-person, , 
University System of Georgia — University of North Georgia, Public, GA, Planning for in-person, , 
University System of Georgia — University of West Georgia, Public, GA, Planning for in-person, , 
University System of Georgia — Valdosta State University, Public, GA, Planning for in-person, , 
University System of Maryland, Public, MD, , planning to start in-person at its campuses  but some larger classes may be online:, https://www.usmd.edu/newsroom/news/2041
University System of Maryland — Bowie State University, Public, MD, Proposing a hybrid model, , 
University System of Maryland — Coppin State University, Public, MD, Proposing a hybrid model, , 
University System of Maryland — Frostburg State University, Public, MD, Proposing a hybrid model, , 
University System of Maryland — Salisbury University, Public, MD, Proposing a hybrid model, , 
University System of Maryland — Towson University, Public, MD, Proposing a hybrid model, , 
University System of Maryland — University of Baltimore, Public, MD, Proposing a hybrid model, , 
University System of Maryland — University of Maryland at College Park, Public, MD, Proposing a hybrid model,  Proposing a hybrid model University System of Maryland — University of Maryland  Eastern Shore Public MD , 
Ursinus College, Private, PA, Waiting to decide, waiting to decide, https://www.ursinus.edu/live/news/672-important-details-regarding-move-out-process
Utah System of Higher Education, Public, UT, , intends to resume in-person classes in the fall at its campuses:, https://www.deseret.com/utah/2020/4/24/21234793/covid-19-reopen-public-colleges-universities-fall
Utah System of Higher Education — Dixie State University, Public, UT, Planning for in-person, , 
Utah System of Higher Education — Salt Lake Community College, Public, UT, Planning for in-person, , 
Utah System of Higher Education — Snow College, Public, UT, Planning for in-person, , 
Utah System of Higher Education — Southern Utah University, Public, UT, Planning for in-person, , 
Utah System of Higher Education — University of Utah, Public, UT, Planning for in-person, , 
Utah System of Higher Education — Utah State University, Public, UT, Planning for in-person, , 
Utah System of Higher Education — Utah Valley University, Public, UT, Planning for in-person, , 
Utah System of Higher Education — Weber State University, Public, UT, Planning for in-person, , 
Valparaiso University, Private, IN, Planning for in-person, planning for in-person, http://www.valpotorch.com/news/article_d80d01a2-99e1-11ea-b9fb-9bddf1948a3c.html?fbclid=IwAR2tv0neCbZN5cUFlR4uvViTK8wkmcnDgVFSmtr8V2fyz22B0r3ZKAXpwbI
Vanderbilt University, Private, TN, Proposing a hybrid model, planning for in-person with remote options, https://www.vanderbilt.edu/coronavirus/2020/05/12/may-12-2020-planning-for-the-fall-semester/
Vassar College, Private, NY, Waiting to decide, waiting to decide  with an update on July 3, https://www.vassar.edu/coronavirus-updates/
Vermont Technical College, Public, VT, Planning for in-person, planning for in-person, https://www.vtc.edu/news/update-covid-19-coronavirus
Villanova University, Private, PA, Planning for in-person, waiting to decide, https://www1.villanova.edu/university/coronavirus/updates.html
Virginia Commonwealth University, Public, VA, Planning for in-person, We have every intention of opening our fall semester in-person as long as it is safe to do so., https://www.virginiabusiness.com/article/fall-semester-on-the-minds-of-virginias-colleges-and-universities/
Virginia Tech, Public, VA, Waiting to decide, plans to announce in early June, https://vtnews.vt.edu/articles/2020/04/president-townhall-wrap-042320.html
Virginia Wesleyan University, Private, VA, Planning for in-person, planning for students to return on August 26, https://www.vwu.edu/about/news-and-events/features/story/president-miller-announces-plans-to-reopen-in-person-august-26
Wake Forest University, Private, NC, Planning for in-person, We plan to conduct fall semester classes on campus., https://coronavirus.wfu.edu/frequently-asked-questions-faqs/
Walsh University, Private, OH, Considering a range of scenarios, considering a range of scenarios, https://www.walsh.edu/news/2020/05/student-incentives.html
Warren Wilson College, Private, NC, Planning for in-person, intends to reopen campus in the fall, http://chronicle.com/
Washington and Jefferson College, Private, PA, Planning for in-person, planning for  in-person, https://www.washjeff.edu/update-on-planning-for-future-of-covid-19/
Washington College, Private, MD, Planning for in-person, intends to return to in-person classes on August 31, https://www.washcoll.edu/coronavirus/
Washington State University, Public, WA, Planning for in-person, planning for in-person classes, https://twitter.com/WSU_Cougar_Pres/status/1253405998267502592
Washington University St. Louis, Private, MO, Considering a range of scenarios, considering a range of scenarios, https://source.wustl.edu/2020/04/washington-university-begins-planning-for-fall/
Wayne State University, Public, MI, Planning for online, leaning toward starting fall classes online, https://www.detroitnews.com/story/news/local/michigan/2020/04/23/um-hopes-students-campus-fall-wayne-state-michigan-state-lean-online/3013230001/
Waynesburg University, Private, PA, Planning for in-person, planning for in-person classes, https://www.heraldstandard.com/news/covid-19/cal-u-waynesburg-university-planning-for-in-person-fall-semesters/article_fa5bc326-9147-11ea-a1eb-1fdcec4ffea7.html
Wellesley College, Private, MA, Waiting to decide, will announce fall plans by July 1, https://blogs.wellesley.edu/announcements/2020/05/04/fall-planning-update/
West Chester University, Public, PA, Waiting to decide, expects a final decision by July 1, https://www.wcupa.edu/healthNotices/fall2020.aspx
West Liberty University, Public, WV, Planning for in-person, plans to start fall semester in-person, https://westliberty.edu/news/news/alumni/wlu-announces-plans-for-fall-semester/
West Virginia University, Public, WV, Considering a range of scenarios, exploring a range of scenarios  from in-person to entirely online, https://wvutoday.wvu.edu/stories/2020/04/23/gee-mountaineer-values-continue-to-guide-us-in-covid-19-response
Western Colorado University, Public, CO, Planning for in-person, planning for in-person, https://www.western.edu/resources-and-updates-related-covid-19-coronavirus
Western Michigan University, Public, MI, Planning for in-person, planning for in-person, https://wmich.edu/covid-19
Western Nevada College, Public, NV, Considering a range of scenarios, The goal is to resume in-person classes for the fall  with options that allow students to attend classes on campus or via video technology., https://www.wnc.edu/covid-19/
Western New England University, Private, MA, Planning for in-person, planning for in-person, https://www1.wne.edu/news/2020/05/plan-to-resume-classes-fall-2020.cfm
Western Washington University, Public, WA, Planning for in-person, planning for in-person, https://www.wwu.edu/spring-guide/students
Westminster College, Private, MO, Planning for in-person, plans to start fall semester in-person , https://news.westminster-mo.edu/news-releases/westminster-college-confident-that-fall-2020-in-person-classes-will-take-place/
Wheaton College (Mass.), Private, MA, Planning for in-person, “We have affirmed our intention to deliver an on-campus fall semester” subject to the guidance of public-health experts., https://wheatoncollege.blog/on-campus-announcements/president/update-on-fall-semester/
Whitworth University, Private, WA, Planning for in-person, plans to reopen the campus and resume in-person classes, https://www.whitworth.edu/cms/administration/health-and-counseling-services/health-center/coronavirus-information/plans-to-reopen-and-resume-classes-april-28-2020/
Wichita State University, Public, KS, Proposing a hybrid model, plans to return to campus with a hybrid model in the fall , https://wichita.edu/about/COVID-19/shockers_united/index.php
Willamette University, Private, OR, Planning for in-person, planning for in-person instruction, https://willamette.edu/news/library/2020/04/message-to-prospective-students.html
William Jessup University, Private, CA, Planning for in-person, planning to open campus in the fall, https://jessup.edu/coronavirus-information/forward-together/
William Jewell College, Private, MO, Planning for in-person, intends to open for fall semester, https://www.jewell.edu/news-events/intention-to-open-fall-semester
Williams College, Private, MA, Waiting to decide, plans to announce by July 1, https://president.williams.edu/writings-and-remarks/letters-from-the-president/timeline-and-process-for-deciding-about-fall-2020/
Wittenberg University, Private, OH, Planning for in-person, planning for in-person, https://www.wittenberg.edu/administration/president/message-regarding-fall-return
Wofford College, Private, SC, Waiting to decide, hopes to have everyone return in the fall  with a decision to be made by early July, https://www.wofford.edu/Wofford.edu/Documents/About/News/student-parent-qa.pdf
Worcester Polytechnic Institute, Private, MA, Waiting to decide, waiting to decide, https://www.wpi.edu/news/coronavirus/faqs#campus-operations-and-contingency-planning
Worcester State University, Public, MA, Considering a range of scenarios, planning a range of scenarios, https://www.worcester.edu/Public-Health-Information/
Wright State Unviersity, Public, OH, Waiting to decide, waiting to decide, https://www.wright.edu/residence-life-and-housing
Xavier University, Private, OH, Considering a range of scenarios, hoping to return to in-person  but planning a range of scenarios, https://www.cincinnati.com/story/news/2020/05/10/xavier-miami-hopeful-students-can-return-campus-fall-semester/3106574001/
Yale University, Private, CT, Waiting to decide, decision expected by early July, https://yaledailynews.com/blog/2020/04/22/yale-to-announce-fall-plans-by-july/
Yeshiva University, Private, NY, Considering a range of scenarios, considering a range of scenarios, https://www.yu.edu/covid-19-info/updates#_ga=2.90740313.275912632.1589690605-1213317628.1589690605
